【朗知方林, 大模型算法工程师, 乌鲁木齐·水磨沟区·六道湾, -K, 3-5年·本科, null】
【湘凯信息, 全栈工程师-银行, 乌鲁木齐·天山区·南门, -K·薪, 5-10年·大专, null】
【汇智兴业, 高级java后端工程师, 乌鲁木齐, -K, 3-5年·大专, null】
【御航智能, 高级后端工程师, 乌鲁木齐·水磨沟区·六道湾, -K·薪, 1-3年·大专, null】
【中企数字, Java开发工程师, 乌鲁木齐·新市区·迎宾路, -K, 1-3年·本科, null】
【新疆风律启源智能科技, 语料库大模型, 乌鲁木齐, -K, 1-3年·学历不限, null】
【天用唯勤, JAVA软件工程师, 乌鲁木齐·天山区·民主路, -K, 3-5年·本科, null】
【曜超建筑, 高级工程师, 乌鲁木齐, -K, 经验不限·大专, null】
【上海思芮, 并网测试工程师, 乌鲁木齐, -K, 3-5年·本科, null】
【新疆网商互联网络科技, 产品测试工程师, 乌鲁木齐·天山区·东门, -K, 1年以内·本科, null】
【金捷讯, 网络工程师, 乌鲁木齐·水磨沟区·南湖路, -K, 1-3年·本科, null】
【朗知方林, 大模型算法工程师, 乌鲁木齐·水磨沟区·六道湾, -K, 3-5年·本科, null】
【天阳科技, 测试工程师, 乌鲁木齐, -K, 3-5年·本科, null】
【湘凯信息, 全栈工程师-银行, 乌鲁木齐·天山区·南门, -K·薪, 5-10年·大专, null】
【汇智兴业, 高级java后端工程师, 乌鲁木齐, -K, 3-5年·大专, null】
【御航智能, 高级后端工程师, 乌鲁木齐·水磨沟区·六道湾, -K·薪, 1-3年·大专, null】
【中企数字, Java开发工程师, 乌鲁木齐·新市区·迎宾路, -K, 1-3年·本科, null】
【新疆风律启源智能科技, 语料库大模型, 乌鲁木齐, -K, 1-3年·学历不限, null】
【天用唯勤, JAVA软件工程师, 乌鲁木齐·天山区·民主路, -K, 3-5年·本科, null】
【曜超建筑, 高级工程师, 乌鲁木齐, -K, 经验不限·大专, null】
【上海思芮, 并网测试工程师, 乌鲁木齐, -K, 3-5年·本科, null】
【新疆网商互联网络科技, 产品测试工程师, 乌鲁木齐·天山区·东门, -K, 1年以内·本科, null】
【金捷讯, 网络工程师, 乌鲁木齐·水磨沟区·南湖路, -K, 1-3年·本科, null】
【朗知方林, 大模型算法工程师, 乌鲁木齐·水磨沟区·六道湾, -K, 3-5年·本科, null】
【天阳科技, 测试工程师, 乌鲁木齐, -K, 3-5年·本科, null】
【亚信科技, 初级软件开发工程师, 乌鲁木齐·水磨沟区·南湖路, -K, 1年以内·大专, null】
【湘凯信息, 全栈工程师-银行, 乌鲁木齐·天山区·南门, -K·薪, 5-10年·大专, null】
【汇智兴业, 高级java后端工程师, 乌鲁木齐, -K, 3-5年·大专, null】
【御航智能, 高级后端工程师, 乌鲁木齐·水磨沟区·六道湾, -K·薪, 1-3年·大专, null】
【中企数字, Java开发工程师, 乌鲁木齐·新市区·迎宾路, -K, 1-3年·本科, null】
【新疆风律启源智能科技, 语料库大模型, 乌鲁木齐, -K, 1-3年·学历不限, null】
【天用唯勤, JAVA软件工程师, 乌鲁木齐·天山区·民主路, -K, 3-5年·本科, null】
【曜超建筑, 高级工程师, 乌鲁木齐, -K, 经验不限·大专, null】
【上海思芮, 并网测试工程师, 乌鲁木齐, -K, 3-5年·本科, null】
【新疆网商互联网络科技, 产品测试工程师, 乌鲁木齐·天山区·东门, -K, 1年以内·本科, null】
【金捷讯, 网络工程师, 乌鲁木齐·水磨沟区·南湖路, -K, 1-3年·本科, null】
【朗知方林, 大模型算法工程师, 乌鲁木齐·水磨沟区·六道湾, -K, 3-5年·本科, null】
【天阳科技, 测试工程师, 乌鲁木齐, -K, 3-5年·本科, null】
【亚信科技, 初级软件开发工程师, 乌鲁木齐·水磨沟区·南湖路, -K, 1年以内·大专, null】
【明华监理, 电气工程师, 乌鲁木齐·水磨沟区·亚欧国际会展中心, -K, 1-3年·大专, null】
【湘凯信息, 全栈工程师-银行, 乌鲁木齐·天山区·南门, -K·薪, 5-10年·大专, null】
【汇智兴业, 高级java后端工程师, 乌鲁木齐, -K, 3-5年·大专, null】
【御航智能, 高级后端工程师, 乌鲁木齐·水磨沟区·六道湾, -K·薪, 1-3年·大专, null】
【中企数字, Java开发工程师, 乌鲁木齐·新市区·迎宾路, -K, 1-3年·本科, null】
【新疆风律启源智能科技, 语料库大模型, 乌鲁木齐, -K, 1-3年·学历不限, null】
【天用唯勤, JAVA软件工程师, 乌鲁木齐·天山区·民主路, -K, 3-5年·本科, null】
【曜超建筑, 高级工程师, 乌鲁木齐, -K, 经验不限·大专, null】
【上海思芮, 并网测试工程师, 乌鲁木齐, -K, 3-5年·本科, null】
【新疆网商互联网络科技, 产品测试工程师, 乌鲁木齐·天山区·东门, -K, 1年以内·本科, null】
【金捷讯, 网络工程师, 乌鲁木齐·水磨沟区·南湖路, -K, 1-3年·本科, null】
【朗知方林, 大模型算法工程师, 乌鲁木齐·水磨沟区·六道湾, -K, 3-5年·本科, null】
【天阳科技, 测试工程师, 乌鲁木齐, -K, 3-5年·本科, null】
【亚信科技, 初级软件开发工程师, 乌鲁木齐·水磨沟区·南湖路, -K, 1年以内·大专, null】
【明华监理, 电气工程师, 乌鲁木齐·水磨沟区·亚欧国际会展中心, -K, 1-3年·大专, null】
【久远银海, java开发工程师, 乌鲁木齐, -K, 1-3年·本科, null】
